index_id,index_label,index_type,category,dimension,indicator_id,weight,agg_method,min_frac_present,notes
index_rel_living_arrangements,Community Living Arrangements Index (Relative),scorecard_index,CL,relative,rel_score_home,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_rel_living_arrangements,Community Living Arrangements Index (Relative),scorecard_index,CL,relative,rel_score_noninstgroupquarters,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_rel_living_arrangements,Community Living Arrangements Index (Relative),scorecard_index,CL,relative,rel_score_nursing_18to64,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_rel_living_arrangements,Community Living Arrangements Index (Relative),scorecard_index,CL,relative,rel_score_corrections,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,eq_score_home,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,eq_score_noninstgroupquarters,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,eq_score_nursing_18to64,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,eq_score_corrections,1,weighted_mean,0.8,Combines all four community living arrangement indicators for PWD aged 18-64 into a single index — replaces the former split into communal_living and institutional_living. All members ACS-ready.
index_rel_community_resource,Community Resource Index (Relative),scorecard_index,CL,relative,rel_score_hcbs_ratio,1,weighted_mean,0.3,"Community Resource (old version, no disability filter on housing variables). All members external_ready (KFF FY2024 HCBS + HUD POSH 2023). min_frac_present = 0.3."
index_rel_community_resource,Community Resource Index (Relative),scorecard_index,CL,relative,rel_score_hcbs_per_individual,1,weighted_mean,0.3,"Community Resource (old version, no disability filter on housing variables). All members external_ready (KFF FY2024 HCBS + HUD POSH 2023). min_frac_present = 0.3."
index_rel_community_resource,Community Resource Index (Relative),scorecard_index,CL,relative,rel_score_hcv_hoh,1,weighted_mean,0.3,"Community Resource (old version, no disability filter on housing variables). All members external_ready (KFF FY2024 HCBS + HUD POSH 2023). min_frac_present = 0.3."
