indicator_id,category,dimension,indicator_label,pwd_raw_var,pwod_raw_var,derived,direction,transform,weight,source_status,notes
rel_score_home,CL,relative,Living at Home: Relative,pct_grp_dis_home,,0,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.
eq_score_home,CL,equity,Living at Home: Equity,pct_grp_dis_home,pct_grp_nodis_home,1,lower_better,none,1,acs_ready,
rel_score_noninstgroupquarters,CL,relative,Living in Non-Institutionalized Group Quarters: Relative,pct_grp_dis_noninstgroupquarters,,0,lower_better,none,1,acs_ready,ACS PUMS TYPE=3 (non-institutional GQ: college dorms + military barracks + shelters) DIS=1 AGEP 18-64.
eq_score_noninstgroupquarters,CL,equity,Living in Non-Institutionalized Group Quarters: Equity,pct_grp_dis_noninstgroupquarters,pct_grp_nodis_noninstgroupquarters,1,lower_better,none,1,acs_ready,
rel_score_nursing_18to64,CL,relative,Living in Nursing Home Age 18 to 64: Relative,pct_grp_dis_18to64_nursing,,0,lower_better,none,1,acs_ready,ACS PUMS DIS=1 AGEP 18-64 institutional GQ subtype = nursing home/skilled nursing. Verify exact GQ type code in 2024 PUMS codebook. 65+ removed per 2024 revision.
eq_score_nursing_18to64,CL,equity,Living in Nursing Home Age 18 to 64: Equity,pct_grp_dis_18to64_nursing,pct_grp_nodis_18to64_nursing,1,lower_better,none,1,acs_ready,
rel_score_corrections,CL,relative,Living in Correctional Facility: Relative,pct_grp_dis_corrections,,0,lower_better,none,1,acs_ready,ACS PUMS DIS=1 AGEP 18-64 institutional GQ subtype = correctional facility. Verify exact GQ type code.
eq_score_corrections,CL,equity,Living in Correctional Facility: Equity,pct_grp_dis_corrections,pct_grp_nodis_corrections,1,lower_better,none,1,acs_ready,
rel_score_hcbs_ratio,CL,relative,HCBS vs. Institutional Spending Ratio: Relative,hcbs_ratio,,0,higher_better,none,1,external_ready,Source: KFF Custom State Report (HCBS 2024.csv). FFS data from CMS-64. Formula: Home Health & Personal Care spend / (Home Health & PC + Nursing Facilities + ICF-ID). FFS only — excludes managed-care HCBS (no CMS-64 breakout within managed care). Data year: FY2024. Community Resource OLD version.
rel_score_hcbs_per_individual,CL,relative,HCBS Spending Per Individual: Relative,hcbs_per_individual,,0,higher_better,none,1,external_ready,Source: KFF Custom State Report (HCBS 2024.csv). Formula: Home Health & Personal Care FFS spend (FY2024) / People with Disabilities Medicaid enrollees (2023). Denominator is all disabled Medicaid enrollees (not just HCBS waiver participants — no unduplicated HCBS count available in file). FFS spending only.
rel_score_hcv_hoh,CL,relative,Housing Choice Voucher (Head of Household): Relative,hcv_hoh,,0,higher_better,none,1,external_ready,Source: HUD Picture of Subsidized Households (POSH) — huduser.gov/portal/datasets/assthsg.html. State-level total HCV (Section 8) households. OLD version: no disability filter on HoH. Denominator: total disabled population by state (from ACS disability count — e.g. B18101 total with disability). Rate = HCV_HHs / disabled_pop. Most recent: 2023.
rel_score_pubhousing_hoh,CL,relative,Public Housing (Head of Household): Relative,pubhousing_hoh,,0,higher_better,none,1,external_ready,Source: HUD POSH (huduser.gov/portal/datasets/assthsg.html). State-level total Public Housing households. OLD version: no disability filter. Denominator: total disabled population by state (same as HCV). Rate = PH_HHs / disabled_pop. Most recent: 2023.
rel_score_computer,CP,relative,Computer Access: Relative,pwd_computer_pct,,0,higher_better,none,1,acs_ready,ACS PUMS: household has computer (LAPTOP=1 or DESKTOP=1) any member DIS=1. Confirm PUMS variable names in 2024 codebook.
eq_score_computer,CP,equity,Computer Access: Equity,pwd_computer_pct,pwod_computer_pct,1,lower_better,none,1,acs_ready,
rel_score_smartphone,CP,relative,Smartphone Access: Relative,pwd_smartphone_pct,,0,higher_better,none,1,acs_ready,ACS PUMS: household has smartphone (SMARTPHONE=1) any member DIS=1. Confirm exact variable name in 2024 PUMS codebook.
eq_score_smartphone,CP,equity,Smartphone Access: Equity,pwd_smartphone_pct,pwod_smartphone_pct,1,lower_better,none,1,acs_ready,
rel_score_int,CP,relative,Internet Access: Relative,pwd_int_pct,,0,higher_better,none,1,acs_ready,ACS PUMS: household has internet access (ACCESSINET=1) any member DIS=1. Or S1810_C02 internet row. Confirm in 2024 PUMS codebook.
eq_score_int,CP,equity,Internet Access: Equity,pwd_int_pct,pwod_int_pct,1,lower_better,none,1,acs_ready,
rel_score_privatehealth,CP,relative,Private Health Insurance: Relative,pct_cni_19to64_dis_privatehealth,,0,higher_better,none,1,acs_ready,Source: ACS B18135 row B18135_016E (with disability age 19-64 + private health insurance). Denominator: B18135 'with disability age 19-64 total' row (verify suffix near _016E in 2024 table shell). Variable already present in national_data from prior pull. Age 19-64 per confirmed B18135 row structure.
eq_score_privatehealth,CP,equity,Private Health Insurance: Equity,pct_cni_19to64_dis_privatehealth,pct_cni_19to64_nodis_privatehealth,1,lower_better,none,1,acs_ready,PWOD: corresponding B18135 no-disability age 19-64 private health insurance row.
rel_score_publichealth,CP,relative,Public Health Insurance: Relative,pct_cni_19to64_dis_publichealth,,0,higher_better,none,1,acs_ready,Source: ACS B18135_017E (with disability age 19-64 + public health insurance — includes Medicare + Medicaid + CHIP + other public). Variable confirmed present in national_data from main pipeline ACS run. Denominator: B18135 'with disability 19-64 total' row. Consolidated indicator replacing separate Medicare/Medicaid indicators. Scoring direction: higher_better (public coverage access is positive for disabled people).
eq_score_publichealth,CP,equity,Public Health Insurance: Equity,pct_cni_19to64_dis_publichealth,pct_cni_19to64_nodis_publichealth,1,lower_better,none,1,acs_ready,PWOD variable pct_cni_19to64_nodis_publichealth confirmed present in national_data from main pipeline ACS run.
rel_score_nohealthins,CP,relative,No Health Insurance: Relative,pct_cni_19to64_dis_nohealthins,,0,lower_better,none,1,acs_ready,Source: ACS B18135_018E (with disability age 19-64 + no health insurance). Denominator: B18135 'with disability 19-64 total' row. Variable already present in national_data from prior pull. Age 19-64 per confirmed B18135 row structure.
eq_score_nohealthins,CP,equity,No Health Insurance: Equity,pct_cni_19to64_dis_nohealthins,pct_cni_19to64_nodis_nohealthins,1,lower_better,none,1,acs_ready,PWOD: B18135 no-disability age 19-64 no-insurance row.
rel_score_propertycrime,CP,relative,Property Crime Rate: Relative,property_crime_rate,,0,lower_better,none,1,acs_ready,"Source: FBI NIBRS 2024 — Table 28 (Crimes Against Property). Downloaded to external_data/. Variable: property_crime_rate = (Burglary + Larceny/Theft + Motor Vehicle Theft) / Population Covered × 100,000. Arson excluded. Rate denominator = population covered by NIBRS-reporting agencies (NOT total state pop). 2024 low-participation states: FL (~62% covered), PA (~51% covered), AK (~61% covered) — flagged in fbi_crime_2024.csv via fbi_coverage_note column. Data added to national_data via 01b Section B + INTEGRATION (April 2026)."
rel_score_violentcrime,CP,relative,Violent Crime Rate: Relative,violent_crime_rate,,0,lower_better,none,1,acs_ready,"Source: FBI NIBRS 2024 — Table 27 (Crimes Against Persons) + Table 28 (robbery). Variable: violent_crime_rate = (Assault + Homicide + Sex Offenses [T27] + Robbery [T28]) / Population Covered × 100,000. Note: NIBRS Assault Offenses includes all assault levels (not just aggravated); Sex Offenses is broader than legacy UCR rape. Same 2024 low-participation caveats as property crime (FL, PA, AK). Data added to national_data via 01b Section B + INTEGRATION (April 2026)."
rel_score_noGED,CP,relative,Highest Education Less Than High School: Relative,pct_cni_25plus_noGED_dis,,0,lower_better,none,1,acs_ready,ACS S1810. Variable: S1810_C02_009E (pop with disability age 25+ less than HS diploma). Verify column against 2024 S1810 table shell.
eq_score_noGED,CP,equity,Highest Education Less Than High School: Equity,pct_cni_25plus_noGED_dis,pct_cni_25plus_noGED_nodis,1,lower_better,none,1,acs_ready,
rel_score_bachelors,CP,relative,Highest Education Bachelors or Greater: Relative,pct_cni_25plus_bachelors_dis,,0,higher_better,none,1,acs_ready,ACS S1810. Variable: S1810_C02_012E (pop with disability age 25+ bachelor's or higher). Verify column against 2024 S1810 table shell.
eq_score_bachelors,CP,equity,Highest Education Bachelors or Greater: Equity,pct_cni_25plus_bachelors_dis,pct_cni_25plus_bachelors_nodis,1,lower_better,none,1,acs_ready,
rel_score_transit,CP,relative,Commute to Work By Public Transit: Relative,pct_cni_16plus_transit_dis,,0,higher_better,none,1,acs_ready,ACS PUMS: JWTRNS=04-09 (transit modes) DIS=1 AGEP 16+ ESR=1or2 (employed). Denominator = all employed civilians with disability 16+. B08301 lacks disability cross-tab; PUMS required.
eq_score_transit,CP,equity,Commute to Work By Public Transit: Equity,pct_cni_16plus_transit_dis,pct_cni_16plus_transit_nodis,1,lower_better,none,1,acs_ready,
rel_score_drivealone,CP,relative,Commute to Work By Driving Alone: Relative,pct_cni_16plus_drivealone_dis,,0,lower_better,none,1,acs_ready,ACS PUMS: JWTRNS=01 (drove alone) DIS=1 AGEP 16+ ESR=1or2. Higher driving alone = negative (lacks transit access).
eq_score_drivealone,CP,equity,Commute to Work By Driving Alone: Equity,pct_cni_16plus_drivealone_dis,pct_cni_16plus_drivealone_nodis,1,lower_better,none,1,acs_ready,
rel_score_employment,WE,relative,Employment Rate: Relative,pct_cni_16plus_employed_dis,,0,higher_better,none,1,acs_ready,ACS B18131. Employed civilians 16+ with disability. Denominator = all civilians 16+ with disability (employed + unemployed + NILF).
eq_score_employment,WE,equity,Employment Rate: Equity,pct_cni_16plus_employed_dis,pct_cni_16plus_employed_nodis,1,lower_better,none,1,acs_ready,
rel_score_coladj_ind_income,WE,relative,Cost-of-Living Adjusted Individual Income: Relative,coladj_ind_income,,0,higher_better,log1p,1,external_ready,Base: ACS PUMS PERNP DIS=1 AGEP 18-64 ESR=1or2. Use median. COL adjustment: BEA Regional Price Parities (RPPs) — bea.gov. Most recent RPP: 2022. Formula: COL_adj = median_PERNP / (state_RPP / 100). Confirm full-time year-round filter with team.
eq_score_coladj_ind_income,WE,equity,Cost-of-Living Adjusted Individual Income: Equity,coladj_ind_income,coladj_ind_income_nodis,1,lower_better,log1p,1,external_ready,PWOD: same PUMS pull without DIS filter + BEA RPP.
rel_score_coladj_hh_income,WE,relative,Cost-of-Living Adjusted Household Income: Relative,coladj_hh_income,,0,higher_better,log1p,1,external_ready,Base: ACS PUMS HINCP any member DIS=1. Use median. COL: BEA RPP same as individual income. Disability HH = any member DIS=1.
eq_score_coladj_hh_income,WE,equity,Cost-of-Living Adjusted Household Income: Equity,coladj_hh_income,coladj_hh_income_nodis,1,lower_better,log1p,1,external_ready,PWOD: PUMS HINCP no member DIS=1 + BEA RPP.
